synthetic_id,class,concentration_uM,true_endpoint_delta_f,label
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0014,CLEAN_PCA3_TARGET,40.0,-56.49266020981027,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0015,CLEAN_PCA3_TARGET,10.0,-104.28930762887904,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0016,CLEAN_PCA3_TARGET,40.0,-43.77483500298396,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0017,CLEAN_PCA3_TARGET,1.0,-272.72128849314316,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0018,CLEAN_PCA3_TARGET,10.0,-108.30313894938254,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0019,CLEAN_PCA3_TARGET,10.0,-110.72514341131921,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0020,CLEAN_PCA3_TARGET,10.0,-10.374326299848844,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0021,CLEAN_PCA3_TARGET,10.0,-59.00870817526736,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0022,CLEAN_PCA3_TARGET,10.0,-132.13559038781497,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0023,CLEAN_PCA3_TARGET,10.0,-10.69154798872872,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0024,CLEAN_PCA3_TARGET,5.0,-280.9402352464387,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0025,CLEAN_PCA3_TARGET,10.0,-73.72232141834046,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0026,CLEAN_PCA3_TARGET,10.0,-143.97969068463556,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0027,CLEAN_PCA3_TARGET,10.0,-11.219129897928848,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0028,CLEAN_PCA3_TARGET,10.0,-87.37233991410439,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0029,CLEAN_PCA3_TARGET,10.0,-36.533693374638766,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0030,CLEAN_PCA3_TARGET,10.0,-16.89543706117203,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0031,CLEAN_PCA3_TARGET,10.0,-14.264076870726607,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0032,CLEAN_PCA3_TARGET,40.0,-61.77989476656527,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0033,CLEAN_PCA3_TARGET,1.0,-11.105768739563148,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0034,CLEAN_PCA3_TARGET,10.0,-14.735186663233838,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0035,CLEAN_PCA3_TARGET,20.0,-42.93747552726332,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0036,CLEAN_PCA3_TARGET,10.0,-328.38834008202684,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0037,CLEAN_PCA3_TARGET,10.0,-42.31820546178153,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0038,CLEAN_PCA3_TARGET,10.0,-60.945779626414826,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0039,CLEAN_PCA3_TARGET,10.0,-12.94589784980969,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0040,CLEAN_PCA3_TARGET,5.0,-45.33445681775022,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0041,CLEAN_PCA3_TARGET,10.0,-98.50140738273313,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0042,CLEAN_PCA3_TARGET,20.0,-65.77169227768889,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0043,CLEAN_PCA3_TARGET,10.0,-40.02292818230145,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0044,CLEAN_PCA3_TARGET,10.0,-4.482435861766763,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0045,CLEAN_PCA3_TARGET,10.0,-64.86560437950958,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0046,CLEAN_PCA3_TARGET,10.0,-83.08929525916196,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0047,CLEAN_PCA3_TARGET,20.0,-15.193830384847324,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0048,CLEAN_PCA3_TARGET,10.0,-17.14065736346609,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0049,CLEAN_PCA3_TARGET,10.0,-77.82201817061491,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0050,CLEAN_PCA3_TARGET,40.0,-60.132583159233945,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0051,CLEAN_PCA3_TARGET,10.0,-110.49199929537659,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0052,CLEAN_PCA3_TARGET,5.0,-298.2048918850946,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0053,CLEAN_PCA3_TARGET,10.0,-2.242741971184915,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0054,CLEAN_PCA3_TARGET,20.0,-63.50537500967131,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0055,CLEAN_PCA3_TARGET,10.0,-23.17305787952514,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0056,CLEAN_PCA3_TARGET,10.0,-76.68570477319808,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0057,CLEAN_PCA3_TARGET,10.0,-69.0308681904487,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0058,CLEAN_PCA3_TARGET,10.0,-94.17232248117963,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0059,CLEAN_PCA3_TARGET,10.0,-134.2255628906957,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0060,CLEAN_PCA3_TARGET,10.0,-15.363767944759985,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0061,CLEAN_PCA3_TARGET,10.0,-100.52159115300668,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0062,CLEAN_PCA3_TARGET,10.0,-128.1101550579921,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0063,CLEAN_PCA3_TARGET,20.0,-64.5040764104481,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0064,CLEAN_PCA3_TARGET,10.0,-13.12071944202343,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0065,CLEAN_PCA3_TARGET,5.0,-30.97660118302768,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0066,CLEAN_PCA3_TARGET,10.0,-322.61368667170456,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0067,CLEAN_PCA3_TARGET,5.0,-89.61840621203446,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0068,CLEAN_PCA3_TARGET,40.0,-41.98249621491607,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0069,CLEAN_PCA3_TARGET,5.0,-29.212162346211628,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0070,CLEAN_PCA3_TARGET,0.5,-57.60461157326014,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0071,CLEAN_PCA3_TARGET,10.0,-46.02809499928066,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0072,CLEAN_PCA3_TARGET,10.0,-14.183931986594535,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0073,CLEAN_PCA3_TARGET,10.0,-380.01902284623884,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0074,CLEAN_PCA3_TARGET,20.0,-59.36613304286678,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0075,CLEAN_PCA3_TARGET,5.0,-51.53580819251007,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0076,CLEAN_PCA3_TARGET,10.0,-16.17502383567918,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0077,CLEAN_PCA3_TARGET,10.0,-104.90750501019866,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0078,CLEAN_PCA3_TARGET,10.0,-54.10999849732656,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0079,CLEAN_PCA3_TARGET,1.0,-44.838129235463846,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0080,CLEAN_PCA3_TARGET,5.0,-300.63191520880054,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0081,CLEAN_PCA3_TARGET,40.0,-346.0842327330648,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0082,CLEAN_PCA3_TARGET,10.0,-4.243544792888077,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0083,CLEAN_PCA3_TARGET,40.0,-49.36201469436957,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0084,CLEAN_PCA3_TARGET,20.0,-134.50009801710817,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0085,CLEAN_PCA3_TARGET,10.0,-85.71623215430779,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0086,CLEAN_PCA3_TARGET,40.0,-33.74297629566002,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0087,CLEAN_PCA3_TARGET,10.0,-3.3777390221076016,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0088,CLEAN_PCA3_TARGET,10.0,-48.972922665239835,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0089,CLEAN_PCA3_TARGET,10.0,-109.45676315130332,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0090,CLEAN_PCA3_TARGET,10.0,-61.99733884301604,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0091,CLEAN_PCA3_TARGET,10.0,-10.835995226561439,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0092,CLEAN_PCA3_TARGET,10.0,-13.772962198761434,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0093,CLEAN_PCA3_TARGET,10.0,-11.504697683110862,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0094,CLEAN_PCA3_TARGET,40.0,-31.503504970145094,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0095,CLEAN_PCA3_TARGET,10.0,-32.097039352215326,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0096,CLEAN_PCA3_TARGET,10.0,-103.65687746557468,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0097,CLEAN_PCA3_TARGET,10.0,-108.5971721966314,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0098,CLEAN_PCA3_TARGET,10.0,-46.00119544072657,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0099,CLEAN_PCA3_TARGET,20.0,-57.00829363060677,SUCCESS
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0000,DEFECTIVE_CHIP,10.0,7.2259599854414605,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0001,DEFECTIVE_CHIP,10.0,15.528373703587752,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0002,DEFECTIVE_CHIP,5.0,2.9697247834540406,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0003,DEFECTIVE_CHIP,10.0,10.731223216052822,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0004,DEFECTIVE_CHIP,10.0,20.00137725957918,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0005,DEFECTIVE_CHIP,5.0,1.3243175146124941,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0006,DEFECTIVE_CHIP,10.0,6.961003976119576,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0007,DEFECTIVE_CHIP,10.0,3.735931796848336,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0008,DEFECTIVE_CHIP,10.0,2.4263531694290656,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0009,DEFECTIVE_CHIP,10.0,14.408613070556488,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0010,DEFECTIVE_CHIP,10.0,21.224569942718947,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0011,DEFECTIVE_CHIP,10.0,27.383785938984236,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0012,DEFECTIVE_CHIP,10.0,6.266588854676128,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0013,DEFECTIVE_CHIP,10.0,7.937954221217063,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0014,DEFECTIVE_CHIP,10.0,1.075643751062974,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0015,DEFECTIVE_CHIP,5.0,4.022638432132527,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0016,DEFECTIVE_CHIP,10.0,5.707030347244427,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0017,DEFECTIVE_CHIP,10.0,102.63453146172924,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0018,DEFECTIVE_CHIP,10.0,23.301749788696956,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0019,DEFECTIVE_CHIP,5.0,25.398706364727833,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0020,DEFECTIVE_CHIP,10.0,17.613482500466596,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0021,DEFECTIVE_CHIP,10.0,32.4784693097424,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0022,DEFECTIVE_CHIP,10.0,6.750004423277479,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0023,DEFECTIVE_CHIP,10.0,11.848659503013714,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0024,DEFECTIVE_CHIP,5.0,28.75816054564734,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0025,DEFECTIVE_CHIP,10.0,2.8762573129524087,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0026,DEFECTIVE_CHIP,20.0,-1.6640762005554048,SUCCESS
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0027,DEFECTIVE_CHIP,10.0,10.791499787163858,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0028,DEFECTIVE_CHIP,0.5,4.427059005858751,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0029,DEFECTIVE_CHIP,20.0,35.66350206800679,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0030,DEFECTIVE_CHIP,5.0,8.960804124139788,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0031,DEFECTIVE_CHIP,40.0,24.50062618207467,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0032,DEFECTIVE_CHIP,10.0,106.67021394963193,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0033,DEFECTIVE_CHIP,0.5,25.671722922665975,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0034,DEFECTIVE_CHIP,10.0,22.600028314575212,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0035,DEFECTIVE_CHIP,10.0,3.5243194004960605,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0036,DEFECTIVE_CHIP,10.0,9.295000411879261,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0037,DEFECTIVE_CHIP,40.0,27.04868114624865,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0038,DEFECTIVE_CHIP,5.0,100.8560668282455,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0039,DEFECTIVE_CHIP,5.0,28.63342024322059,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0040,DEFECTIVE_CHIP,10.0,14.325619183533197,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0041,DEFECTIVE_CHIP,10.0,10.637115316179447,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0042,DEFECTIVE_CHIP,0.5,10.194105090362417,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0043,DEFECTIVE_CHIP,10.0,6.8934895373579534,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0044,DEFECTIVE_CHIP,10.0,16.935049945580552,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0045,DEFECTIVE_CHIP,10.0,9.347441543324603,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0046,DEFECTIVE_CHIP,10.0,-0.5102411904335572,SUCCESS
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0047,DEFECTIVE_CHIP,10.0,3.8972520131662867,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0048,DEFECTIVE_CHIP,10.0,-0.5466853274609851,SUCCESS
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0049,DEFECTIVE_CHIP,10.0,6.772535020458073,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0050,DEFECTIVE_CHIP,10.0,19.191280891519565,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0051,DEFECTIVE_CHIP,10.0,-2.5147051268617506,SUCCESS
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0052,DEFECTIVE_CHIP,10.0,8.066801346356284,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0053,DEFECTIVE_CHIP,1.0,3.0298882048837075,FAILURE
SYN_SINGLE_PROBE_DEFECTIVE_CHIP_0054,DEFECTIVE_CHIP,10.0,28.31727491162892,FAILURE
